Id,Label,timeset,0,1
7chillboo,7chillboo,,0,0.004369
kjnchsolo,kjnchsolo,,0,0
morphoflies,morphoflies,,1,0
junkyukime,junkyukime,,1,0
exosalien,exosalien,,1,0
mactaadid,mactaadid,,2,0
kyutieshii,kyutieshii,,2,0
yourarians,yourarians,,3,0.002757
sbmptnfess,sbmptnfess,,4,0.058784
mumarisatulhk,mumarisatulhk,,5,0.006652
schfess,schfess,,6,0.1327
dian_renataa,dian_renataa,,3,0.018777
helloyoon4,helloyoon4,,81,0.000661
guidance204,guidance204,,8,0.026257
syafiranurainun,syafiranurainun,,9,0.017614
subschfess,subschfess,,10,0.08967
jeinneblackpink,jeinneblackpink,,65,0.016281
utbkfess,utbkfess,,81,0.016072
kamilla_nadiya,kamilla_nadiya,,81,0.015364
dannit07,dannit07,,12,0
choihyunsukie7,choihyunsukie7,,12,0
frendy_yoga,frendy_yoga,,5,0.004802
cruciaetus,cruciaetus,,13,0.009222
swidays7,swidays7,,14,0.000002
pjweomma,pjweomma,,14,0.000003
grungeshii,grungeshii,,2,0
byunpov,byunpov,,15,0.006422
hiromi_daiji,hiromi_daiji,,3,0.069051
hopefullyperf,hopefullyperf,,13,0.012161
aqilla_qiranni,aqilla_qiranni,,16,0.003683
tresurcakep,tresurcakep,,17,0.000622
lisaandara61,lisaandara61,,17,0.000415
chamberdux,chamberdux,,16,0.000504
lizzypeachyy,lizzypeachyy,,4,0.000229
lovybel,lovybel,,17,0.002234
gabriux1,gabriux1,,18,0
dinges_zenius,dinges_zenius,,18,0
zenius_oliv,zenius_oliv,,81,0.015284
kimikimikokobop,kimikimikokobop,,17,0.004345
aldiset02946261,aldiset02946261,,8,0
hsyriki,hsyriki,,19,0
i_sunwon_u,i_sunwon_u,,19,0
zeniusambis,zeniusambis,,81,0.001077
putrioec,putrioec,,8,0.011353
naraseyoo,naraseyoo,,8,0.003239
thomathow,thomathow,,4,0.000463
tiaraputri_tari,tiaraputri_tari,,4,0.000599
authxutt7,authxutt7,,20,0
rossvxyw_,rossvxyw_,,20,0
bitterlo_ve,bitterlo_ve,,17,0.00487
keyystudies,keyystudies,,21,0.002707
maillov_,maillov_,,6,0.000207
