Id,Label,timeset,0,1
helloyoon4,helloyoon4,,0,0.004414
sbmptnfess,sbmptnfess,,20,0.076758
utbkfess,utbkfess,,0,0.018915
byunpov,byunpov,,29,0.016869
subschfess,subschfess,,3,0.073354
hopefullyperf,hopefullyperf,,95,0.030079
schfess,schfess,,5,0.142663
lizzypeachyy,lizzypeachyy,,20,0.001881
zenius_oliv,zenius_oliv,,0,0.0396
gabriux1,gabriux1,,7,0
dinges_zenius,dinges_zenius,,7,0
zeniusambis,zeniusambis,,0,0.001959
keyystudies,keyystudies,,9,0.004966
maillov_,maillov_,,5,0.000376
zenbyzaa,zenbyzaa,,9,0.008789
pfmmipy,pfmmipy,,3,0.002417
atomhidrogen1,atomhidrogen1,,95,0.000887
aziastudy,aziastudy,,11,0
airmelon_,airmelon_,,11,0
user0014297,user0014297,,223,0.000752
canwehvebutter,canwehvebutter,,223,0.002064
txtdariharsa,txtdariharsa,,13,0.000001
pemudalusi,pemudalusi,,13,0.000001
hujkwqe83dja,hujkwqe83dja,,95,0.00035
mitrabelajarmu,mitrabelajarmu,,9,0.003303
gustity1,gustity1,,9,0.001165
amsterdamlaf,amsterdamlaf,,0,0.009762
ttttaacaa,ttttaacaa,,3,0
tetsuuuuuw,tetsuuuuuw,,223,0.001574
nezthetic,nezthetic,,223,0
ambisintenyukk,ambisintenyukk,,20,0
ftievi,ftievi,,223,0.007938
vaquola,vaquola,,5,0
sebut_aja_orang,sebut_aja_orang,,18,0
jeonsooheej,jeonsooheej,,18,0
notbeautybutidc,notbeautybutidc,,20,0
jbjie,jbjie,,19,0
faintedrain,faintedrain,,19,0
nnaanaj,nnaanaj,,3,0
notge0n,notge0n,,3,0.000188
nowsantuy,nowsantuy,,20,0.000813
iridoriscent,iridoriscent,,20,0
numayyyyyy,numayyyyyy,,5,0
jedd0ngie,jedd0ngie,,5,0
nakskarunggoni,nakskarunggoni,,20,0
biologyzyx,biologyzyx,,21,0
atypicali,atypicali,,21,0.000005
naxxyra,naxxyra,,5,0
yourcrush_babe,yourcrush_babe,,3,0
amiktheavocado,amiktheavocado,,21,0
amilyakautsar,amilyakautsar,,20,0
areajulid,areajulid,,0,0
mjskud,mjskud,,22,0
itscammila,itscammila,,22,0.000002
yantoyamazaki,yantoyamazaki,,3,0.001667
asdfghjklhftt,asdfghjklhftt,,20,0.001127
xexostar,xexostar,,5,0
awasakunbaru,awasakunbaru,,20,0
kasihnamadong_,kasihnamadong_,,23,0
whentheweather,whentheweather,,23,0.001202
mystruggle___,mystruggle___,,29,0.001449
nafastudy,nafastudy,,24,0
rxxras,rxxras,,24,0
vrdhmrh,vrdhmrh,,25,0
saramadhan,saramadhan,,25,0
natadekopok_,natadekopok_,,26,0
