,Node,Degree Centrality,Betweenness Centrality,Closeness Centrality,Eigenvector Centrality
0,schfess,0.09221796974667396,1997242.9945864829,0.18217202286262735,0.6118420194299992
1,subschfess,0.06378713322398397,1349604.8657506867,0.17027984997445159,0.28570504256664503
2,ambisfs,0.06032440313468198,843058.7661229429,0.14649178582661054,0.13754887983784214
3,sbmptnfess,0.04537998906506288,884745.1033170716,0.1649665114165564,0.12086172981267995
4,guidance204,0.01913613996719519,395194.52806199866,0.16473703004112764,0.07246694683191371
5,dian_renataa,0.01457991616548205,282605.59085367416,0.16334339263756129,0.06747568668707185
6,paniijjekhyuk,0.01166393293238564,418155.3665546515,0.10581756090626551,1.1453508940987102e-05
7,bertanyarl,0.01038819026790596,173097.51072105454,0.131572431296458,0.006930397976963077
8,convomf,0.009659194459631858,176510.19392454182,0.146274653732994,0.020907636860473876
9,rut0w0rld_,0.009476945507563332,199741.38286564543,0.09311035721425093,4.262699025167743e-07
10,utbkfess,0.009294696555494806,241895.40827592576,0.15277882471260681,0.03716273819640562
11,sabdaps,0.008930198651357754,153180.9227300802,0.11781915466826817,0.0014667696721372124
12,zenius_oliv,0.008747949699289229,230035.8293548572,0.15616346329085531,0.052874697351437384
14,hopefullyperf,0.008018953891015127,183037.78625234537,0.1541309670224277,0.04994014734114497
13,putrioec,0.008018953891015127,170867.5017289892,0.160960438105607,0.05759868587595014
15,treasuremembers,0.007107709130672499,123502.67683066604,0.09157907897785633,2.978322737446272e-07
16,hmdjky,0.006925460178603973,253879.85566737494,0.10100411638900775,6.753038569160774e-06
17,imanusman,0.006560962274466922,816420.5097371618,0.12420356558058168,0.0001256618782923034
18,syafiranurainun,0.0063787133223983964,265110.2655521442,0.1652581072596036,0.06026984810929415
19,cruciaetus,0.00583196646619282,138804.65026874447,0.1612819497851352,0.055787316224196803
20,hiromi_daiji,0.005649717514124294,1039282.7482529108,0.17050867680298323,0.05003531104162096
21,gapyearfess,0.005467468562055769,77479.2695713498,0.14159899521191543,0.026587591750351525
22,smkfess,0.005285219609987243,103456.35295160234,0.14918614217968248,0.036666705974295076
23,mumarisatulhk,0.004738472753781666,100113.79268697975,0.15927189051676494,0.05387561724461767
24,frendy_yoga,0.00455622380171314,72273.03364028304,0.14770991143634452,0.04382861774366013
25,kamilla_nadiya,0.004191725897576089,231246.0439075361,0.16228388406116198,0.051289351648755775
26,byunpov,0.004191725897576089,96661.21786054458,0.15308164382398132,0.04622135864703564
27,misellia_,0.004191725897576089,92061.50925033039,0.10261448760519203,5.768745133192025e-06
28,bulgos7chill,0.003827227993439038,141383.79186115938,0.10414254528542412,6.009597629132631e-06
30,intangomieber,0.003827227993439038,67515.96283636506,0.13857238434616423,0.02874049934096404
29,kimikimikokobop,0.003827227993439038,65389.53687233564,0.15190348853544375,0.04691898508091866
32,angelinetrima,0.0036449790413705125,76816.65861447128,0.15435865440854007,0.04353456636003499
31,aqilla_qiranni,0.0036449790413705125,55438.650425934735,0.1556980800187115,0.0485733149176858
33,zenambis,0.0034627300893019866,55454.74983329265,0.13909321078486253,0.028072467306791925
34,bitterlo_ve,0.003280481137233461,73303.40833120063,0.15878782470130323,0.05199878696449033
37,treasuremenfess,0.0030982321851649353,63797.672170569196,0.0892104959287605,2.4464629906821334e-07
36,naraseyoo,0.0030982321851649353,48747.11149877812,0.15129540881811424,0.045422319057321574
35,vickyutami2,0.0030982321851649353,30734.684421718466,0.12497251969420847,0.004919012890608674
38,prythalizee,0.00291598323309641,107686.53137167479,0.08019319195221342,2.2369091835207255e-08
