,Node,Degree Centrality,Betweenness Centrality,Closeness Centrality,Eigenvector Centrality
0,schfess,0.141321044546851,0.14266343391688335,0.20610100822616398,0.6941058636726178
1,sbmptnfess,0.07910906298003072,0.07675780946376293,0.17684984530228065,0.06608891829147828
2,subschfess,0.07104454685099847,0.07335420235282514,0.173507491361048,0.1088913996495772
3,sabdaps,0.01881720430107527,0.017928720160935878,0.13176022666041592,0.002380465785060507
4,zenius_oliv,0.018433179723502304,0.03960011545217332,0.1973695712668513,0.054261054643829625
5,bertanyarl,0.01728110599078341,0.016283015008548344,0.1477236048076315,0.005491867869811685
6,hopefullyperf,0.016897081413210446,0.030078857711708235,0.1903872991512811,0.0514460309060088
7,convomf,0.013824884792626727,0.012408982292540829,0.14088917939901843,0.010423091915151497
8,utbkfess,0.012672811059907835,0.018914548311489827,0.14664786326451743,0.010993835440788757
9,byunpov,0.008832565284178187,0.0168693601430889,0.18546641530512498,0.04863647273339942
11,zenambis,0.007296466973886329,0.007930319794911102,0.1477236048076315,0.037889566498946085
10,ambisfs,0.007296466973886329,0.006065240405961005,0.13428263151582076,0.009322223908150367
12,vickyutami2,0.006528417818740399,0.004330189126908021,0.14031916248978438,0.006986041690968314
13,gapyearfess,0.00576036866359447,0.004307106635610883,0.14420881356365228,0.005691119849346068
15,keyystudies,0.0038402457757296467,0.004966012728661582,0.16173055800959862,0.04317922146092681
14,smkfess,0.0038402457757296467,0.0030593713782639375,0.1423671502661461,0.005090702754784497
17,msputraaz,0.0030721966205837174,0.007335419396409817,0.11601560191731104,0.0005851431701810598
16,zen_kakyuni,0.0030721966205837174,0.0037449404061129987,0.10227391119217738,0.000296769098056284
22,amsterdamlaf,0.002688172043010753,0.009761567792103985,0.1847528718310301,0.045832340086218136
18,zenbyzaa,0.002688172043010753,0.008789052121085843,0.18095071128030454,0.04585417843975053
20,ftievi,0.002688172043010753,0.007937619867417223,0.18079349954157276,0.04561610533388446
19,panggilajazul,0.002688172043010753,0.0022542317416028787,0.11640498861030221,0.0003974464961048468
21,zeniusambis,0.002688172043010753,0.001958972666336202,0.14548588998299947,0.03658203933942086
25,sharon_zenius,0.002304147465437788,0.003757458732247885,0.16131264959096916,0.03968921773182446
23,pfmmipy,0.002304147465437788,0.0024172438839504718,0.15994874555907015,0.04192360391833171
24,txtapaadanya,0.002304147465437788,0.0018766010859500998,0.11238162986805593,0.0018813975282204079
27,taeexyz,0.002304147465437788,0.001550344926656496,0.12821522980428235,0.0024257593568114094
26,cittairlanie,0.002304147465437788,4.425945957429481e-06,0.002304147465437788,4.181930743234477e-71
28,dekapanfiksii,0.002304147465437788,4.425945957429481e-06,0.002304147465437788,4.181930743234477e-71
34,helloyoon4,0.0019201228878648233,0.004414275904341996,0.14867348271422973,0.00980291230111112
40,matchamaeleon,0.0019201228878648233,0.0035845671594259064,0.16261525238787464,0.04237044748191769
33,sedikidnormal,0.0019201228878648233,0.0025928691680023237,0.16068982082806968,0.042098395013498276
41,aurellovee,0.0019201228878648233,0.0021135150242084545,0.13925495291480053,0.007675078690471674
38,quip_zenshare,0.0019201228878648233,0.001969664131625382,0.1598668255869528,0.04182639005230401
39,englishfess_,0.0019201228878648233,0.0018763060228862713,0.11242210587377106,0.00188135672486152
35,tetsuuuuuw,0.0019201228878648233,0.0015743804547802512,0.14668231999930703,0.03652025237039226
37,itzjaraaa,0.0019201228878648233,0.0015018709948877373,0.1301667960627712,0.0034504201654183063
36,ambverss,0.0019201228878648233,0.0015018709948877373,0.10858931186589854,0.0004007073916518234
32,whentheweather,0.0019201228878648233,0.0012017741877684903,0.12303507172192563,0.002155778371821529
30,student_fess,0.0019201228878648233,0.001143627520720221,0.1373553253942906,0.004556428089606129
31,shourtcakee,0.0019201228878648233,0.001126845840761546,0.1423996245248747,0.0031208424646313234
29,atypicali,0.0019201228878648233,5.311135148915378e-06,0.001881720430107527,8.303013716827617e-73
63,mitrabelajarmu,0.0015360983102918587,0.0033026814273929366,0.16177246797539538,0.04222078963793942
68,lightfu17,0.0015360983102918587,0.0026815080303890376,0.14917083725616503,0.03661506081948937
49,1975nk,0.0015360983102918587,0.002050610690297938,0.16003074953013346,0.04180644542825412
56,madamemoisse,0.0015360983102918587,0.0020419236667604487,0.1598668255869528,0.041699069871669936
51,audorebel,0.0015360983102918587,0.0017931384367029207,0.11644841520556813,0.0004087995921714983
53,badp3ople,0.0015360983102918587,0.0016668985126342556,0.1597849894847839,0.04169877084731803
70,yantoyamazaki,0.0015360983102918587,0.0016668985126342551,0.1597849894847839,0.04169877084731803
54,mystruggle___,0.0015360983102918587,0.0014492179251304749,0.15994874555907015,0.041960903867655115
57,ssophrosynee,0.0015360983102918587,0.0012490043021531744,0.13445616065411387,0.0040939660971170385
52,pasukanambis,0.0015360983102918587,0.0012241090160182233,0.13013966102085694,0.005950131925987367
43,syifakyung,0.0015360983102918587,0.001126845840761546,0.13729490959248972,0.0026779552019946056
55,bucincimolll,0.0015360983102918587,0.001126845840761546,0.13471729691779258,0.002531707101633851
65,asdfghjklhftt,0.0015360983102918587,0.001126845840761546,0.13011253728992303,0.0034411431200924558
66,collegemenfess,0.0015360983102918587,0.001126845840761546,0.11222001688244665,0.0018712533367178828
71,prkdlx,0.0015360983102918587,0.001126845840761546,0.11222001688244665,0.0018712533367178828
69,askrlfess,0.0015360983102918587,0.001126845840761546,0.1018069070314825,0.0002935624171733894
64,namaewanaori,0.0015360983102918587,0.001126845840761546,0.09389080371740874,3.0459159019172512e-05
60,preciousjh17,0.0015360983102918587,0.001126845840761546,0.09200883624422265,2.97388152524356e-05
58,uburuburuu,0.0015360983102918587,0.0011268458407615457,0.14528274468630456,0.03614107797800901
59,vazlae,0.0015360983102918587,0.0009184165709514872,0.15285992995030626,0.036497939879052255
62,atomhidrogen1,0.0015360983102918587,0.0008868308268064964,0.1285584748593597,0.006053162212021582
67,nowsantuy,0.0015360983102918587,0.0008133413354436244,0.14390962515376918,0.005326677776607502
44,itsmechelllllll,0.0015360983102918587,0.000751525623571526,0.14288852229733365,0.007896217910583
46,bnauree,0.0015360983102918587,0.0003646736405164853,0.13497944949557855,0.004226492442047901
47,azaleyyaa,0.0015360983102918587,2.655567574457689e-06,0.0016001024065540196,1.1843108967758731e-75
42,pshstudy,0.0015360983102918587,1.7703783829717926e-06,0.0015360983102918587,1.2697521232594466e-76
45,r4bbiiit,0.0015360983102918587,1.7703783829717926e-06,0.0015360983102918587,1.2697521232594466e-76
48,jpfbase,0.0015360983102918587,1.7703783829717926e-06,0.0015360983102918587,1.2697521232594466e-76
50,jeromepolin,0.0015360983102918587,1.7703783829717926e-06,0.0015360983102918587,1.2697521232594466e-76
61,stanmenfess,0.0015360983102918587,1.7703783829717926e-06,0.0015360983102918587,1.2697521232594466e-76
72,jaemcityx,0.0015360983102918587,1.7703783829717926e-06,0.0015360983102918587,1.2697521232594466e-76
116,fyoduor,0.001152073732718894,0.0037594232212526716,0.16415460266028156,0.04204418486548542
90,azijik,0.001152073732718894,0.003366079432157035,0.09406056259108794,3.0377920821865095e-05
79,piwchicks,0.001152073732718894,0.00262075013292591,0.14555373138658212,0.03604521005234486
92,cimycatha,0.001152073732718894,0.002095415064789284,0.11315569220899958,0.0005713065838656583
77,suckcietyy,0.001152073732718894,0.002077219270334605,0.13251537973191482,0.0037071598552744865
110,canwehvebutter,0.001152073732718894,0.0020641194771873986,0.14613294801429091,0.036073916823874244
111,luvinfaisy,0.001152073732718894,0.0018754208336947856,0.0681305199080051,8.167799349612706e-08
97,bothroses,0.001152073732718894,0.0017622772512982795,0.14301946252395206,0.003037889456140874
104,gustity1,0.001152073732718894,0.0011648847832753267,0.14637279107082082,0.03643057259606924
99,memeykarta,0.001152073732718894,0.0009012454114543178,0.14095280061346824,0.0028170456886949854
107,gyuravity,0.001152073732718894,0.0007975651420884072,0.1300583237327189,0.006316875680627691
85,jualanmurcee,0.001152073732718894,0.0007515256235715261,0.1282415681834533,0.005654603783364836
89,semangattbljr22,0.001152073732718894,0.0007515256235715261,0.1282415681834533,0.005654603783364836
88,sygfess,0.001152073732718894,0.000751525623571526,0.13723454691515732,0.002670774368992343
78,ambisstudd,0.001152073732718894,0.000751525623571526,0.13226270210107008,0.0023804781860209856
108,user0014297,0.001152073732718894,0.000751525623571526,0.11264524610556671,0.0018727442210011256
96,ahdwik__,0.001152073732718894,0.000751525623571526,0.05983705107994352,4.2414066620489025e-09
80,studstudiee,0.001152073732718894,0.0007515256235715259,0.14521515559829046,0.0360441670639532
102,zeniusssss,0.001152073732718894,0.0007515256235715259,0.14521515559829046,0.0360441670639532
109,awcitrun,0.001152073732718894,0.0007515256235715259,0.14521515559829046,0.0360441670639532
117,lagihbelajar,0.001152073732718894,0.0007515256235715259,0.14521515559829046,0.0360441670639532
103,kdoydoyi,0.001152073732718894,0.0004571188698179227,0.1282415681834533,0.0057667596436194865
101,polkacoma,0.001152073732718894,0.0003865572022041604,0.09203596548976127,3.721287056748157e-05
84,hiyifa,0.001152073732718894,0.0003811323916681331,0.13465917901575727,0.004690702378667513
81,sweettaeev,0.001152073732718894,0.0003811323916681329,0.13465917901575727,0.004690702378667513
113,itscammila,0.001152073732718894,2.360504510629057e-06,0.0013715163484748739,1.546343906702038e-77
86,studyfess,0.001152073732718894,2.0654414468004245e-06,0.0012000768049155147,5.948129302648121e-78
91,n00teskuas,0.001152073732718894,1.4753153191431605e-06,0.001228878648233487,1.0856445115156278e-78
95,ontinyawagyu,0.001152073732718894,1.4753153191431605e-06,0.001228878648233487,1.0856445115156278e-78
105,purplishdaisy,0.001152073732718894,1.4753153191431605e-06,0.001228878648233487,1.0856445115156278e-78
112,txtdariharsa,0.001152073732718894,1.4753153191431605e-06,0.001228878648233487,1.0856445115156278e-78
73,noodlezzzip,0.001152073732718894,8.851891914858963e-07,0.001152073732718894,2.5477862162511175e-80
74,nasculfadhil,0.001152073732718894,8.851891914858963e-07,0.001152073732718894,2.5477862162511175e-80
75,potatoesavire,0.001152073732718894,8.851891914858963e-07,0.001152073732718894,2.5477862162511175e-80
76,ljystudz,0.001152073732718894,8.851891914858963e-07,0.001152073732718894,2.5477862162511175e-80
82,taebearys,0.001152073732718894,8.851891914858963e-07,0.001152073732718894,2.5477862162511175e-80
83,lyuvjigguk,0.001152073732718894,8.851891914858963e-07,0.001152073732718894,2.5477862162511175e-80
87,convomfs,0.001152073732718894,8.851891914858963e-07,0.001152073732718894,2.5477862162511175e-80
93,schcampus,0.001152073732718894,8.851891914858963e-07,0.001152073732718894,2.5477862162511175e-80
94,mezmaraised,0.001152073732718894,8.851891914858963e-07,0.001152073732718894,2.5477862162511175e-80
98,ssefnum,0.001152073732718894,8.851891914858963e-07,0.001152073732718894,2.5477862162511175e-80
100,sszvize,0.001152073732718894,8.851891914858963e-07,0.001152073732718894,2.5477862162511175e-80
106,forfuture06,0.001152073732718894,8.851891914858963e-07,0.001152073732718894,2.5477862162511175e-80
114,d1nosauruss,0.001152073732718894,8.851891914858963e-07,0.001152073732718894,2.5477862162511175e-80
115,hijiheon,0.001152073732718894,8.851891914858963e-07,0.001152073732718894,2.5477862162511175e-80
151,jejejesiee_,0.0007680491551459293,0.01016575830542849,0.14970742300169082,0.035974851651710826
294,yungnikiii,0.0007680491551459293,0.0048995451193537135,0.13370742212830386,0.0035365644598732743
296,zeeuze,0.0007680491551459293,0.004102556839473301,0.12871751627155686,0.005639769011594437
190,imkhsnh,0.0007680491551459293,0.003325875908767822,0.14835550235671355,0.03613555946653757
206,jesstjakep,0.0007680491551459293,0.0022466101679912047,0.14548588998299947,0.03594907389416899
220,akutaurifky,0.0007680491551459293,0.0022466101679912047,0.07903278312660472,1.5732802988284625e-06
135,nevermindeuz,0.0007680491551459293,0.0018811527093616225,0.16089689533944607,0.03926550500033385
148,newhopekila,0.0007680491551459293,0.0018811527093616225,0.16089689533944607,0.03926550500033385
180,rigelarion,0.0007680491551459293,0.0018811527093616225,0.16089689533944607,0.03926550500033385
181,rapinzeul,0.0007680491551459293,0.0018811527093616225,0.16089689533944607,0.03926550500033385
222,anazureine,0.0007680491551459293,0.0018811527093616225,0.16089689533944607,0.03926550500033385
256,bljr30mnit1hari,0.0007680491551459293,0.0018811527093616225,0.16089689533944607,0.03926550500033385
307,lizzypeachyy,0.0007680491551459293,0.0018811527093616225,0.16089689533944607,0.03926550500033385
191,glamoroustudy,0.0007680491551459293,0.0017094433029596011,0.144609671975226,0.009038049245647927
196,nanas_malas,0.0007680491551459293,0.0015001006165047655,0.12834702999939365,0.005639603380598013
195,halusinasiberat,0.0007680491551459293,0.0015001006165047653,0.14535039672108283,0.035948549927099026
281,2022camaba,0.0007680491551459293,0.0015001006165047653,0.14535039672108283,0.035948549927099026
130,lkwrdh_,0.0007680491551459293,0.0014108298289491356,0.14747931819443674,0.03639026864433662
137,sahrra00,0.0007680491551459293,0.0009153728890627282,0.15962156837562022,0.041476336437485474
174,illusionnary,0.0007680491551459293,0.0009153728890627282,0.15962156837562022,0.041476336437485474
233,cleyopatttra,0.0007680491551459293,0.0009153728890627282,0.15962156837562022,0.041476336437485474
255,vasyaksm,0.0007680491551459293,0.0009153728890627282,0.15962156837562022,0.041476336437485474
262,aresvvv,0.0007680491551459293,0.0009153728890627282,0.15962156837562022,0.041476336437485474
