Node,Betweenness Centrality
schfess,0.13269976040451711
subschfess,0.08966973113002036
forskyblue_,0.0761986101335057
hiromi_daiji,0.06905147348596073
sbmptnfess,0.05878376519405604
ambisfs,0.05601406367411249
imanusman,0.05424417876297821
paniijjekhyuk,0.027782857220712883
guidance204,0.026257305360012684
dian_renataa,0.018776730871960853
syafiranurainun,0.01761431574170136
hmdjky,0.01686815080083398
jeinneblackpink,0.01628069712338367
utbkfess,0.01607188649962655
kamilla_nadiya,0.015364327076974377
zenius_oliv,0.015283918643141417
uncukmyboo,0.014134848476820243
rut0w0rld_,0.013271111087124329
buosinis,0.012683895780049258
starfess,0.012443858254112917
hynskcallmyname,0.012174269879719491
hopefullyperf,0.012161299574711164
convomf,0.011727596745227846
bertanyarl,0.011500853056719856
putrioec,0.011352687981288833
yedamdoyoung12,0.011187327889343826
kyu_uya,0.011103195773355522
sabdaps,0.010177565674242403
igibuyaaaa,0.009900128854290756
bulgos7chill,0.009393746958137382
cruciaetus,0.009222384999532218
its_bayb,0.009074639864318876
affodils,0.00901727495336091
egynuramal,0.008870612952766562
kyuchanvr,0.008249323832667488
treasuremembers,0.008205699391194555
avomilk3,0.007986047190022477
prythalizee,0.007154851437981093
smkfess,0.0068737921656073795
chshiitravis,0.006837308421832889
mumarisatulhk,0.006651707548234663
byunpov,0.006422313401659388
misellia_,0.006116702000262337
jejejesiee_,0.0060705175479820765
treasureunionid,0.00583958331133869
woopydes,0.005757601397888759
choiharu00,0.0052125965285011846
gapyearfess,0.005147836560850639
angelinetrima,0.005103811714871699
bitterlo_ve,0.004870386201754482
frendy_yoga,0.004801926592692265
intangomieber,0.0044858598158312255
7chillboo,0.004368962461243234
kimikimikokobop,0.004344576949044617
treasuremenfess,0.004238811118300246
wjd2npark_,0.004214368148707854
haiakumulfandd,0.004065838903015519
msputraaz,0.003980601873326252
zenambis,0.0036844950945460553
aqilla_qiranni,0.003683425426255897
yungnikiii,0.0034180372417171485
piscesfeed1,0.0033186563785170477
skiessam_,0.003302871912606079
naraseyoo,0.003238829743718515
zenbyzaa,0.0032060558351773138
kiranna_kinan,0.0031804181622430007
pacarjaemln,0.0030821739012365534
fiyybby_,0.0029678574518972804
sweetsparkleszs,0.0029659820211723575
yourarians,0.002757382088197688
keyystudies,0.0027068528177896264
habiby_haniatul,0.002524319908807156
fathasayyidah,0.0024839807954917604
jeongwo0xharut0,0.0024838479125518635
exlion_a1,0.0024795956584751644
kim_bangjeon,0.0024246270423598985
treasure_bllbrd,0.0022762847604329882
lovybel,0.0022341014140156794
babysahiwoo,0.0022004731694675395
zlwawdya,0.0021560482516748583
shlghtsun,0.002149944281704817
kevtrav2,0.0020676585447949388
blacxskieswan,0.0020676585447949388
vickyutami2,0.0020420576113798867
ftievi,0.0020095850495696994
amsterdamlaf,0.0019874839215138804
jiunromyy_,0.0019661027579787735
youreducationc1,0.00196093800991657
oreoeon,0.0019107658680456445
yeopoppaaaaaa,0.0018973050105551396
parkjwoooo,0.0018638161149931755
harukyutipie,0.0018628859344138975
mshxxh0_,0.0018624208441242586
azijik,0.0018624208441242586
p0d0ng,0.0018614906635449806
liaaaaa36676612,0.0018429708916117946
alfianameylisa,0.001773459360409081
zipyysev,0.001706246379200032
literally_pao,0.0016994198805744378
collegemenfess,0.0016967354961456315
ci_opy,0.0016659149824349154
zen_kakyuni,0.0016570502605136816
treasurebabble,0.0016570502605136816
skieschoiii,0.0016551898993551258
takatashilla,0.001645019567832017
pffyluf,0.001586893268304796
kimkyu991,0.0015760542539957933
liplipaaaee,0.00151933314525455
ruanggalau_id,0.0014501515230942908
junkyua18,0.0014497528742746003
treasurememberx,0.0014487562522253739
zeeuze,0.001398011407516658
atikazahra3176,0.001367446946622464
studyearlier,0.0013513935446147563
mitrabelajarmu,0.001350146122466521
akunbantukamu,0.0012773591328253417
chandyew,0.0012427876953852613
yooo__shinori,0.0012421897221557255
naisseu1,0.0012421897221557253
akutaurifky,0.0012421897221557253
jesstjakep,0.0012421897221557253
cimycatha,0.0012362481322448927
lvreinn,0.0012118438533006098
watanabe_din,0.0012073370299243735
cntburrslf,0.0011920370570046817
canwehvebutter,0.0011795119193666757
yukbisaayuk,0.0011486772952735982
imkhsnh,0.0011242243956476093
zeniusambis,0.0010772922002395123
englishfess_,0.001072501541474182
schcampus,0.0010706800421341567
aurellovee,0.0010628574061269359
areajulid,0.0010495133878018579
memeykarta,0.0010413654575870514
bucincimolll,0.0010361547238456642
ciociloq,0.0010361547238456642
txtapaadanya,0.0010361547238456642
ayraprpl,0.0010360882823757158
ctiedoy,0.0010358889579658707
luvinfaisy,0.0010358889579658705
aesthusias,0.00103549030914618
kiwuwoos,0.0010354903091461798
2022camaba,0.0010354903091461798
richw0mann,0.0010354903091461798
pr3ttysavageee,0.0010354903091461798
maukuliah2,0.0010354903091461796
iamyourdestin11,0.001027498182217586
7chilleader,0.0010071235015274415
voile27,0.001000059461519775
sedikidnormal,0.0009873775390237757
panggilajazul,0.0009726718113284423
hyunslowmotion,0.000968941287735114
___jeslynn,0.0009521805080784441
student_fess,0.000943055895852754
gustity1,0.0009261373119517259
iiasahii,0.0009034116869768679
hiyifa,0.0008936481410831777
watanabedoyoung,0.0008733795901784681
alchemillaes,0.0008596657733208148
yoriku7,0.0008522679956764348
n00nabubble,0.0008447586356472377
yuppygummie,0.0008433537354385984
fajrisp5,0.0008422922996838776
taeexyz,0.00083673128408617
fk22amin,0.0008329080597417185
studysyx,0.0008314760024955442
askrlfess,0.0008305647357966166
jaemcityx,0.0008290566620164282
prkdlx,0.0008290566620164282
asdfghjklhftt,0.0008290566620164282
itzjaraaa,0.0008290566620164282
tetehcarat,0.0008290566620164282
ambverss,0.0008290566620164282
syifakyung,0.0008290566620164282
ustadchen,0.0008289902205464798
cottoncandie__,0.0008289237790765313
aiursj1hoon,0.0008288573376065829
studyfess,0.0008288573376065827
asathurr,0.0008286580131967377
lachie_nae,0.0008286580131967377
pejuangahjussi,0.0008282904248484592
audorebel,0.0008139750276606229
mauliana_sella,0.0008025741924739054
slythryoongs,0.0007937628257992356
7k_yoshi,0.0007937628257992356
hoyeeon,0.0007937628257992356
1975nk,0.0007934499337261437
madamemoisse,0.0007928285167506432
tetsuuuuuw,0.0007834292838259916
suckcietyy,0.0007799180137188646
sygfess,0.0007690056859531258
pfmmipy,0.0007656003965206735
matchamaeleon,0.0007593132922186027
quip_zenshare,0.0007338641197536166
hjsl0ve,0.0007180150407878951
kakmilda,0.0007159186295121207
teuverse_id,0.0007040100403979743
overthinkingboo,0.0007015194902573172
moonareas,0.0006757913405728729
myprciousuncuk,0.0006749042743755979
atomhidrogen1,0.000673535019738893
ursaturnss,0.0006696471372782817
bothroses,0.0006674274683650176
helloyoon4,0.0006607445581898469
nasculfadhil,0.0006601959053944286
convomfs,0.0006568779807923431
melinda06590639,0.0006284625475613003
whentheweather,0.0006282293426313239
justjustinpark,0.000627318212096365
wtanbharuto,0.0006229662958147431
preciousjh17,0.0006218921587172439
junkyux_,0.0006218921587172439
shourtcakee,0.0006218921587172437
nisshal3,0.0006218921587172437
jejosephh,0.0006218921587172437
penghunipluto_,0.0006218921587172437
legendkyu0909,0.0006218921587172437
namaewanaori,0.0006218921587172437
ssefnum,0.0006218921587172437
yedamieudami,0.0006218921587172437
uburuburuu,0.0006218921587172437
pxercys,0.0006218921587172437
reginadewip,0.0006218921587172436
tuanjaehyun,0.0006218257172472954
aphrrdt,0.0006218257172472953
hoezxvirgo,0.0006218257172472953
teumesprnti,0.0006218257172472953
tayaaleka,0.0006218257172472953
bulolac,0.0006218257172472953
melamotokioo,0.0006216928343073986
xaracryst,0.0006216928343073985
tresurcakep,0.0006216928343073985
nooana12,0.0006216928343073985
angelyxc1,0.0006216928343073984
yoonjeyi,0.0006214871904672613
sharon_zenius,0.0006097519597232942
ybchan_i,0.0006008831837943869
wibubelajar,0.0005994301587030044
tiaraputri_tari,0.0005994301587030044
yantoyamazaki,0.0005856640134514577
badp3ople,0.0005856640134514557
lightfu17,0.0005770026782592177
mxrcuriel,0.0005765498468331446
jongusaurus,0.0005741070904175874
h99sukie,0.0005648793019236077
desi138_,0.0005563041222441544
matchases,0.0005505817562233544
dobbyyyluv,0.0005496492220906306
chamberdux,0.000503878229757121
orxx18,0.0005005863684596477
mystruggle___,0.000497875635709874
junghwangall,0.0004967518647850531
haruteum07,0.0004830993470983931
7ohmyice,0.0004755562976926019
obsidiaine,0.0004747966515928884
pasukanambis,0.0004656589638693458
thomathow,0.000462985062761934
ruangbacoot,0.00046155054166767027
lleondrra,0.0004522475011174788
kyawoocute,0.00045133390863918375
studywithna,0.00045056398674463713
bosbuluu,0.0004505478209313489
renantaazrlll,0.00044521870209831616
nowsantuy,0.00042981872795901126
xnaaayaa,0.0004292438222874406
fyoduor,0.00042763108573576515
alonevrydy,0.00042500570314791294
treasuremfess,0.00041466121394811105
kakyoshl,0.00041466121394811105
dokyurii,0.000414661213948111
mhelmyahya,0.000414661213948111
brykyu,0.000414661213948111
pastiambis,0.00041466121394811094
tkmwe2wkcbytzlv,0.00041466121394811094
edukasystem,0.00041466121394811094
ambisstudd,0.00041466121394811094
desvianorita1,0.00041466121394811094
madubenkyou,0.00041466121394811094
studyfaaaa,0.00041466121394811094
wiiiskes,0.00041466121394811094
clobe,0.00041466121394811094
nrlsaes,0.00041466121394811094
taekyootie,0.00041466121394811094
jualanmurcee,0.00041466121394811094
lagihbelajar,0.00041466121394811094
numdeysix,0.00041466121394811094
menfesssyg,0.00041466121394811094
awcitrun,0.00041466121394811094
user0014297,0.00041466121394811094
lenharuuu,0.00041466121394811094
zeniusssss,0.00041466121394811094
yuniachoi_,0.00041466121394811094
adjifir63639005,0.00041466121394811094
n00teskuas,0.00041466121394811094
ahdwik__,0.00041466121394811094
semangattbljr22,0.00041466121394811094
kimbangjeonn,0.00041466121394811094
lisaandara61,0.00041466121394811094
itsmechelllllll,0.00041466121394811094
studstudiee,0.00041466121394811094
ontinyawagyu,0.0004146612139481109
stilltryingplss,0.00041466121394811083
tiramizuyummy,0.00041466121394811083
scndofwil,0.0004145947724781626
nantadv,0.0004145947724781626
twutwah,0.0004145947724781626
suunnly,0.00041459477247816255
myteurejo,0.0004145947724781625
keeylaaaaaaaaaa,0.0004145947724781625
makyuisme,0.0004145947724781625
pcykjk,0.0004145947724781625
echanensiti22,0.0004145947724781625
diveinkyoto,0.0004145947724781625
kiaviees,0.0004145947724781625
meyskezz,0.0004145947724781625
bbbluelion,0.0004145947724781625
skiesgrls,0.0004145947724781625
from_iksan,0.0004145947724781625
hyucknsuk,0.0004145947724781625
voulsmyz,0.0004145947724781625
waguwagusuk,0.0004145947724781625
kasur80juta,0.0004145947724781625
hajeongwuu_,0.0004145947724781625
jenoactrus,0.0004145947724781624
sunkissed9_,0.00040282393177318553
vazlae,0.0004009803567357388
ssophrosynee,0.0003974858055098569
harutodongsaeng,0.00038856113498719877
vagabon_des,0.00037836662721237453
nistiakuki,0.0003783666272123742
nriskaxx,0.00037836662721237393
spagetigoreng,0.0003645483625899827
piwchicks,0.0003441085694172045
sukwooz,0.00033764275285050067
dreamnforward,0.0003338946800619531
tiavintia,0.00032431956580788025
cutiecsan,0.0003168921561816767
shoonganteng,0.0003168921561816767
ikowchey,0.0003153553769097446
haohiksrott,0.0003117765977329772
chiayouu,0.0003040717903060206
priceslezz,0.0002991671560493533
explystrry,0.0002986468677647726
haechaniew,0.0002944301261353864
syounli,0.00028057394331146046
sisturmicinn,0.0002773239742327611
traesureu,0.00027714153670636686
lovemaze52,0.00027568651968480596
lkwrdh_,0.0002686398341187558
kdoydoyi,0.00026738677518628196
chillsaetbyeori,0.0002649313700636228
goenawan_dedi,0.00025904359008796274
jogmfs,0.0002581212199776603
undipmenfess,0.0002550322653290253
icematchalova,0.00025366821862556267
runa237,0.00025295495370751634
dyoovr,0.0002521186804808795
privateboba,0.00025028501729571124
marshepreloved,0.00024654534275988046
halusinasiberat,0.0002411560716175681
bljr30mnit1hari,0.0002294738545868211
nevermindeuz,0.0002294738545868211
rapinzeul,0.0002294738545868211
yukisomakun,0.0002294738545868211
anazureine,0.0002294738545868211
zclcute,0.0002294738545868211
lizzypeachyy,0.0002294738545868211
rigelarion,0.0002294738545868211
newhopekila,0.0002294738545868211
gtwusiapa,0.00022870079040666205
nanas_malas,0.00022779962110832216
tsalminn,0.00022727143170211877
bitnaridaisy,0.00022727143170211877
tibatibasenja,0.00022727143170211877
klarlna,0.00022727143170211877
lyla59694649,0.00022727143170211877
rrararahel,0.00022727143170211877
nana_13200,0.00022727143170211877
strowberrye,0.00022727143170211877
yajiunpanda,0.00022727143170211877
tchthesky,0.00022727143170211877
matchataaa,0.00022727143170211877
j3ndang,0.00022727143170211877
injunn06,0.00022727143170211877
taniki2627,0.00022727143170211877
okeuy12,0.00022727143170211877
azizahkho1,0.00022727143170211877
chewboca_,0.00022727143170211877
linling79712105,0.00022727143170211877
lily71102677,0.00022727143170211877
ayosemangat_,0.00022727143170211877
aljeannie_,0.00022727143170211877
orangcakep_,0.00022727143170211877
luckygurlsss,0.00022727143170211877
akureliliscaloh,0.00022727143170211877
temennyawinwin,0.00022727143170211877
bintangpaws,0.00022727143170211877
ismileumark,0.00022727143170211877
bisayugbisa_,0.00022727143170211877
nrtamaa,0.00022727143170211877
dsriendang,0.00022727143170211877
arimchauw,0.00022727143170211877
esridarna,0.00022727143170211877
tsaljayi,0.00022727143170211877
sisye_,0.00022727143170211877
geuriwohadaa,0.00022727143170211877
bibaterflai,0.00022727143170211877
hallofalvi,0.00022727143170211877
nervze,0.00022727143170211877
jaeminwinner,0.00022727143170211877
esrijuly,0.00022727143170211877
nadong65,0.00022727143170211877
99oosebumps,0.00022727143170211877
singullier,0.00022727143170211877
winwinsicheng28,0.00022727143170211877
brntbewnnr1,0.00022727143170211877
__ishka,0.00022727143170211877
paradise3v,0.00022727143170211877
imaarl_,0.00022587331387882796
sweettaeev,0.00022185247600487107
dinowin_,0.0002215399107255706
polkacoma,0.00022032991621199723
studywithgee,0.00021937302351832255
skiesworldd,0.00021821688363112826
naawoohwan,0.00021750113498641036
ayybis_,0.0002109480019529455
clarissajournal,0.00020835506186733221
maulana_1224,0.00020824998914292006
gaaragtng,0.00020820782920152477
aiurawr,0.00020736382770902975
dobbyrin_,0.00020736382770902975
historiye,0.00020736382770902975
cuwprint,0.00020736382770902975
kmdby,0.00020736382770902975
toralanguru,0.00020736382770902975
sorrelsoup__,0.00020736382770902975
watharutoo,0.00020736382770902975
mozarellachess4,0.00020736382770902975
carangses,0.00020736382770902975
21otwngambis,0.00020736382770902975
novpdd,0.00020736382770902975
aliyyonggs,0.00020736382770902975
junkyumyy,0.00020736382770902972
knjsbrain,0.00020736382770902972
wlorenji,0.00020736382770902972
classimoon,0.00020736382770902972
hiadamwoo,0.00020736382770902972
seiirenedipity,0.00020736382770902972
akuuuuuuily,0.00020736382770902972
nashiayamgeprek,0.00020736382770902972
rachelamnd14,0.00020736382770902972
uwuu_97,0.00020736382770902972
raeambisbesok,0.00020736382770902972
lawcobaambis,0.00020736382770902972
itsmewillotski,0.00020736382770902972
kunnykunnykunn,0.00020736382770902972
evanescenzt,0.00020736382770902972
asahismile_,0.00020736382770902972
haechii_fullsun,0.00020736382770902972
kimriana21,0.00020736382770902972
