Node,Betweenness Centrality
schfess,0.14266343391688335
sbmptnfess,0.07675780946376293
subschfess,0.07335420235282514
zenius_oliv,0.03960011545217332
hopefullyperf,0.030078857711708235
utbkfess,0.018914548311489827
sabdaps,0.017928720160935878
byunpov,0.0168693601430889
bertanyarl,0.016283015008548344
convomf,0.012408982292540829
jejejesiee_,0.01016575830542849
amsterdamlaf,0.009761567792103985
zenbyzaa,0.008789052121085843
ftievi,0.007937619867417223
zenambis,0.007930319794911102
msputraaz,0.007335419396409817
ambisfs,0.006065240405961005
keyystudies,0.004966012728661582
yungnikiii,0.0048995451193537135
helloyoon4,0.004414275904341996
vickyutami2,0.004330189126908021
gapyearfess,0.004307106635610883
zeeuze,0.004102556839473301
fyoduor,0.0037594232212526716
sharon_zenius,0.003757458732247885
zen_kakyuni,0.0037449404061129987
matchamaeleon,0.0035845671594259064
azijik,0.003366079432157035
imkhsnh,0.003325875908767822
mitrabelajarmu,0.0033026814273929366
smkfess,0.0030593713782639375
lightfu17,0.0026815080303890376
piwchicks,0.00262075013292591
sedikidnormal,0.0025928691680023237
pfmmipy,0.0024172438839504718
panggilajazul,0.0022542317416028787
jesstjakep,0.0022466101679912047
akutaurifky,0.0022466101679912047
aurellovee,0.0021135150242084545
cimycatha,0.002095415064789284
suckcietyy,0.002077219270334605
canwehvebutter,0.0020641194771873986
1975nk,0.002050610690297938
madamemoisse,0.0020419236667604487
quip_zenshare,0.001969664131625382
zeniusambis,0.001958972666336202
anazureine,0.0018811527093616225
nevermindeuz,0.0018811527093616225
bljr30mnit1hari,0.0018811527093616225
lizzypeachyy,0.0018811527093616225
newhopekila,0.0018811527093616225
rigelarion,0.0018811527093616225
rapinzeul,0.0018811527093616225
txtapaadanya,0.0018766010859500998
englishfess_,0.0018763060228862713
luvinfaisy,0.0018754208336947856
audorebel,0.0017931384367029207
bothroses,0.0017622772512982795
glamoroustudy,0.0017094433029596011
badp3ople,0.0016668985126342556
yantoyamazaki,0.0016668985126342551
tetsuuuuuw,0.0015743804547802512
taeexyz,0.001550344926656496
ambverss,0.0015018709948877373
itzjaraaa,0.0015018709948877373
nanas_malas,0.0015001006165047655
2022camaba,0.0015001006165047653
halusinasiberat,0.0015001006165047653
mystruggle___,0.0014492179251304749
lkwrdh_,0.0014108298289491356
ssophrosynee,0.0012490043021531744
pasukanambis,0.0012241090160182233
whentheweather,0.0012017741877684903
gustity1,0.0011648847832753267
student_fess,0.001143627520720221
askrlfess,0.001126845840761546
syifakyung,0.001126845840761546
namaewanaori,0.001126845840761546
prkdlx,0.001126845840761546
preciousjh17,0.001126845840761546
bucincimolll,0.001126845840761546
collegemenfess,0.001126845840761546
shourtcakee,0.001126845840761546
asdfghjklhftt,0.001126845840761546
uburuburuu,0.0011268458407615457
vazlae,0.0009184165709514872
potongannf,0.0009153728890627282
sahrra00,0.0009153728890627282
illusionnary,0.0009153728890627282
princes54798837,0.0009153728890627282
cleyopatttra,0.0009153728890627282
sss_aeri,0.0009153728890627282
vasyaksm,0.0009153728890627282
aresvvv,0.0009153728890627282
rillakuman,0.0009153728890627282
junepiyaw,0.0009153728890627282
khalifakinayaa1,0.0009140679253724436
memeykarta,0.0009012454114543178
atomhidrogen1,0.0008868308268064964
dinowin_,0.000877412757603286
nowsantuy,0.0008133413354436244
gyuravity,0.0007975651420884072
semangattbljr22,0.0007515256235715261
jualanmurcee,0.0007515256235715261
itsmechelllllll,0.000751525623571526
user0014297,0.000751525623571526
sygfess,0.000751525623571526
ambisstudd,0.000751525623571526
ahdwik__,0.000751525623571526
awcitrun,0.0007515256235715259
zeniusssss,0.0007515256235715259
lagihbelajar,0.0007515256235715259
studstudiee,0.0007515256235715259
tsavahna,0.0007512305605076974
echanensiti22,0.0007512305605076973
scndofwil,0.0007512305605076973
twutwah,0.0007512305605076973
meyskezz,0.0007512305605076972
diveinkyoto,0.0007512305605076972
goenawan_dedi,0.000570087150119786
lovemaze52,0.0005443420486785327
dreamnforward,0.0005342683762552773
chiayouu,0.0005191497212397329
kdoydoyi,0.0004571188698179227
okeuy12,0.00042870292668074726
polkacoma,0.0003865572022041604
hiyifa,0.0003811323916681331
sweettaeev,0.0003811323916681329
rabiebz,0.00037591034331767737
classimoon,0.00037591034331767737
hotiecutiee,0.00037591034331767737
ehapayabingung,0.00037591034331767737
silverqueern,0.00037591034331767737
rachelamnd14,0.00037591034331767737
jihanbelva,0.00037591034331767737
mowgyli,0.00037591034331767737
ambisss1,0.00037591034331767737
satpam_kmplk,0.00037591034331767737
privateboba,0.00037591034331767737
ursaturnss,0.00037591034331767737
vermmouht,0.00037591034331767737
lawcobaambis,0.00037591034331767737
studywithsa,0.00037591034331767737
skamletoy,0.0003759103433176773
7orupiah,0.0003759103433176773
cuwprint,0.0003759103433176773
ofeverythingg,0.0003759103433176773
mariambisptkn,0.0003759103433176773
sorrelsoup__,0.0003759103433176773
toralanguru,0.0003759103433176773
ayangiesicheng,0.0003759103433176773
mhelmyahya,0.0003759103433176773
skiesonyou,0.0003759103433176773
ttlindonesia,0.0003759103433176773
maublajar,0.0003759103433176773
historiye,0.0003759103433176773
urielflames,0.0003759103433176773
troismotsvides,0.0003759103433176773
evanescenzt,0.0003759103433176773
maisyaphnn,0.0003759103433176773
moothyea,0.0003759103433176773
haechii_fullsun,0.0003759103433176773
richw0mann,0.0003759103433176773
pecintalatte__,0.0003759103433176773
1r481n,0.0003759103433176773
estehpanasding1,0.0003759103433176773
diterimafkui,0.0003759103433176773
giornogiiovanna,0.0003759103433176773
aliyyonggs,0.0003759103433176773
_lunar25_,0.0003759103433176773
__ther3sa,0.0003759103433176773
hjsl0ve,0.0003759103433176773
andrigunardiii,0.0003759103433176773
chemicalphobyc,0.0003759103433176773
nashiayamgeprek,0.0003759103433176773
gaaragtng,0.0003759103433176773
lilsunschenle,0.0003759103433176773
maillov_,0.0003759103433176772
therebahan,0.0003759103433176772
ciaooo000,0.0003759103433176772
hilycious,0.0003759103433176772
lmansa3,0.0003759103433176772
studyayle,0.0003759103433176772
yellingoutt,0.0003759103433176772
letskol,0.0003759103433176772
yukbisasemangat,0.0003759103433176772
homerunballcola,0.0003759103433176772
yyours_s,0.0003759103433176772
s_rhizaa,0.0003759103433176772
