Node,Closeness Centrality
schfess,0.18217202286262735
hiromi_daiji,0.17050867680298323
subschfess,0.17027984997445159
syafiranurainun,0.1652581072596036
sbmptnfess,0.1649665114165564
guidance204,0.16473703004112764
dian_renataa,0.16334339263756129
kamilla_nadiya,0.16228388406116198
cruciaetus,0.1612819497851352
putrioec,0.160960438105607
mumarisatulhk,0.15927189051676494
bitterlo_ve,0.15878782470130323
zenbyzaa,0.15819390817824197
lovybel,0.1580390920759323
jeinneblackpink,0.15724169203624672
zenius_oliv,0.15616346329085531
aqilla_qiranni,0.1556980800187115
___jeslynn,0.15480256164997638
angelinetrima,0.15435865440854007
hopefullyperf,0.1541309670224277
kiranna_kinan,0.15399734676493101
byunpov,0.15308164382398132
utbkfess,0.15277882471260681
amsterdamlaf,0.15256887356639
pffyluf,0.15250338211997588
mitrabelajarmu,0.1523594986648494
keyystudies,0.15224197762542674
studyearlier,0.15207254472506457
cntburrslf,0.1520204873712862
kimikimikokobop,0.15190348853544375
ftievi,0.15135986664395698
naraseyoo,0.15129540881811424
yourarians,0.15120526003860052
pejuangahjussi,0.15089699243403662
wibubelajar,0.15084573666215007
tiaraputri_tari,0.15084573666215007
deskiafp,0.1499417063335426
lgsibukbelajar,0.1499417063335426
akumntansi,0.1499417063335426
jichanxm,0.149374318443784
corbwynbesson,0.149374318443784
smkfess,0.14918614217968248
alchemillaes,0.14819048927450396
frendy_yoga,0.14770991143634452
yuppygummie,0.14757492688655638
orxx18,0.14681869534122483
fajrisp5,0.1467580465080535
fyoduor,0.14670956350623382
affodils,0.1466853340159768
matchamaeleon,0.1465884960334609
ambisfs,0.14649178582661054
oreoeon,0.14637107736762353
jinsuyya,0.14632284966503123
convomf,0.146274653732994
liplipaaaee,0.14603414953415647
chamberdux,0.14581837095168929
sedikidnormal,0.14562710238838164
atomhidrogen1,0.14550781413282105
mystruggle___,0.1454839799290319
akunbantukamu,0.14547206575493235
ybchan_i,0.14546015353205693
1975nk,0.14543633493806116
pfmmipy,0.14542442856598276
overthinkingboo,0.1454125241432121
voile27,0.1454125241432121
mhelmyahya,0.14540062166927062
quip_zenshare,0.14538872114367973
madamemoisse,0.14538872114367973
badp3ople,0.1453649259356366
yantoyamazaki,0.1453649259356366
vagabon_des,0.14534113851525765
nriskaxx,0.14534113851525765
nistiakuki,0.14534113851525765
rillakuman,0.14531735887872047
kimfaraa,0.14531735887872047
junepiyaw,0.14531735887872047
cleyopatttra,0.14531735887872047
potongannf,0.14531735887872047
rg_resqita,0.14531735887872047
sahrra00,0.14531735887872047
economixyz,0.14531735887872047
imamagus21,0.14531735887872047
illusionnary,0.14531735887872047
princes54798837,0.14531735887872047
aresvvv,0.14531735887872047
vasyaksm,0.14531735887872047
sss_aeri,0.14531735887872047
gustity1,0.14524606663397213
hoyeeon,0.14519857732004898
7k_yoshi,0.14519857732004898
slythryoongs,0.14519857732004898
forskyblue_,0.14510369179329188
echanensiti22,0.1437998376858641
aldiset02946261,0.1436951460065911
desi138_,0.1436370498045993
mauliana_sella,0.14325478991399027
sharon_zenius,0.14325478991399027
zclcute,0.14309323303797963
rigelarion,0.14309323303797963
nevermindeuz,0.14309323303797963
anazureine,0.14309323303797963
lizzypeachyy,0.14309323303797963
yukisomakun,0.14309323303797963
rapinzeul,0.14309323303797963
bljr30mnit1hari,0.14309323303797963
newhopekila,0.14309323303797963
