Node,Eigenvector Centrality
schfess,0.6118420194299992
subschfess,0.28570504256664503
ambisfs,0.13754887983784214
sbmptnfess,0.12086172981267995
guidance204,0.07246694683191371
dian_renataa,0.06747568668707185
syafiranurainun,0.06026984810929415
putrioec,0.05759868587595014
cruciaetus,0.055787316224196803
mumarisatulhk,0.05387561724461767
zenius_oliv,0.052874697351437384
bitterlo_ve,0.05199878696449033
kamilla_nadiya,0.051289351648755775
hiromi_daiji,0.05003531104162096
hopefullyperf,0.04994014734114497
zenbyzaa,0.04922125337498313
aqilla_qiranni,0.0485733149176858
lovybel,0.048038367533814914
kiranna_kinan,0.046920462804174085
kimikimikokobop,0.04691898508091866
___jeslynn,0.04680144562028856
byunpov,0.04622135864703564
jeinneblackpink,0.045455923627316853
naraseyoo,0.045422319057321574
mitrabelajarmu,0.04531649239984894
amsterdamlaf,0.04495948682164157
keyystudies,0.04492995019379033
pffyluf,0.04489293736429266
yourarians,0.04414533815691908
studyearlier,0.04394808049285903
frendy_yoga,0.04382861774366013
ftievi,0.043806216888515874
cntburrslf,0.04376613359998764
angelinetrima,0.04353456636003499
pejuangahjussi,0.043386679054052815
wibubelajar,0.04306058791021342
tiaraputri_tari,0.04306058791021342
oreoeon,0.04138471460039412
liplipaaaee,0.04128607983369193
alchemillaes,0.03976090713377003
fajrisp5,0.03966346474186083
akunbantukamu,0.03952447957893217
fyoduor,0.039521584566475476
matchamaeleon,0.03915335763812207
chamberdux,0.03914445447609754
pfmmipy,0.03900947576326638
overthinkingboo,0.038532754782214226
atomhidrogen1,0.03849796426827891
sedikidnormal,0.03847983515620049
mystruggle___,0.0384338155400991
voile27,0.038223707688473475
ybchan_i,0.03821248170850392
quip_zenshare,0.03817689778180543
1975nk,0.038142999530383186
madamemoisse,0.03808660930751162
badp3ople,0.03808648681537709
yantoyamazaki,0.03808648681537709
nriskaxx,0.03801824517801811
nistiakuki,0.03801824517801811
vagabon_des,0.03801824517801811
sahrra00,0.037950247647809944
economixyz,0.037950247647809944
sss_aeri,0.037950247647809944
junepiyaw,0.037950247647809944
cleyopatttra,0.037950247647809944
kimfaraa,0.037950247647809944
rillakuman,0.037950247647809944
aresvvv,0.037950247647809944
princes54798837,0.037950247647809944
potongannf,0.037950247647809944
rg_resqita,0.037950247647809944
vasyaksm,0.037950247647809944
imamagus21,0.037950247647809944
illusionnary,0.037950247647809944
utbkfess,0.03716273819640562
smkfess,0.036666705974295076
desi138_,0.03216205038954142
gustity1,0.031829940535189796
mauliana_sella,0.03173578403040456
7k_yoshi,0.031685877629339526
hoyeeon,0.031685877629339526
slythryoongs,0.031685877629339526
sharon_zenius,0.03157517681128591
affodils,0.031091750955516865
nevermindeuz,0.030980331939565307
rapinzeul,0.030980331939565307
lizzypeachyy,0.030980331939565307
newhopekila,0.030980331939565307
anazureine,0.030980331939565307
yukisomakun,0.030980331939565307
bljr30mnit1hari,0.030980331939565307
rigelarion,0.030980331939565307
zclcute,0.030980331939565307
lgsibukbelajar,0.02898713451052645
deskiafp,0.02898713451052645
akumntansi,0.02898713451052645
alonevrydy,0.02886082576532698
intangomieber,0.02874049934096404
jichanxm,0.028724174582136684
corbwynbesson,0.028724174582136684
youreducationc1,0.02820817895621451
jinsuyya,0.02810658538146876
mhelmyahya,0.028082911492006576
zenambis,0.028072467306791925
yukbisaayuk,0.027542226356002286
lightfu17,0.027539841358915376
marshepreloved,0.027469481015540136
yedamitapon,0.02742035047702314
yakkeojyeo,0.027035019806455222
lkwrdh_,0.026754017754659607
gapyearfess,0.026587591750351525
nasculfadhil,0.026554970424446822
haechaniew,0.026476700678344598
vazlae,0.026445168355449092
fathasayyidah,0.026437407150290956
chewmist,0.026428258699796092
hujkwqe83dja,0.026407583202624377
yeopoppaaaaaa,0.026299869836604286
zeniusambis,0.026246216734513175
tetsuuuuuw,0.026240508956617767
thomathow,0.026226883618112762
utbkptn2022,0.02621239477252759
piwchicks,0.026191618439186368
imkhsnh,0.02616302717722579
peachymochaa,0.026150394899474044
bosbuluu,0.02609302341669058
halusinasiberat,0.026084938578668195
goenawan_dedi,0.02607798262922975
atheaana,0.026012876238084896
uburuburuu,0.026009549812831552
penghunipluto_,0.026009549812831552
vitamiiinc_,0.025994400665460705
canwehvebutter,0.02598149924451223
lagihbelajar,0.025962863432431635
zeniusssss,0.025962863432431635
desvianorita1,0.025962863432431635
studstudiee,0.025962863432431635
nrlsaes,0.025962863432431635
awcitrun,0.025962863432431635
jejejesiee_,0.025932009870230217
jesstjakep,0.02591676337007089
2022camaba,0.025916678961720813
xaracryst,0.02591651105571841
diveinkyoto,0.02591642755479674
meyskezz,0.02591642755479674
hilycious,0.025916344353101372
ratu06487886,0.025916344353101372
kimcheeesy,0.025916344353101372
shr1ve,0.025916344353101372
studyayle,0.025916344353101372
yellingoutt,0.025916344353101372
bubblegum26_,0.025916344353101372
lmansa3,0.025916344353101372
fylaworld,0.025916344353101372
therebahan,0.025916344353101372
jennstudy,0.025916344353101372
yukbisasemangat,0.025916344353101372
chelsstudy,0.025916344353101372
yyours_s,0.025916344353101372
junggjaejhyun,0.025916344353101372
yuraharja,0.025916344353101372
maillov_,0.025916344353101372
letskol,0.025916344353101372
mengmodar,0.025916344353101372
homerunballcola,0.025916344353101372
chemiseutry,0.025869991677161835
istrikmdirumah,0.025869991677161835
88milyarr,0.025869991677161835
minjyvers,0.025869991677161835
minnnnnhoo,0.025869991677161835
chennie_p,0.025869991677161835
kyungkyungsoo_,0.025869991677161835
teafunnygeez,0.025869991677161835
kecoayeppo,0.025869991677161835
inumakitogel,0.025869991677161835
nadshevi,0.025869991677161835
junhoekasep,0.025869991677161835
itsaeril,0.025869991677161835
injeolmies_a,0.025869991677161835
tayeolpark,0.025869991677161835
iniprastyi,0.025869991677161835
cloudissie,0.025869991677161835
chymmynie,0.025869991677161835
coelenterataa,0.025869991677161835
__pramudya,0.025869991677161835
choxco,0.025869991677161835
ominotme,0.025869991677161835
googiebulet,0.025869991677161835
theqids,0.025869991677161835
notconnectioonn,0.025869991677161835
culameetan,0.025869991677161835
kamobelajar,0.025869991677161835
kangambisd,0.025869991677161835
ilhinsibibiybiy,0.025869991677161835
theodore_rjndr,0.025869991677161835
monjicorp,0.025869991677161835
moonliqght1,0.025869991677161835
kerjarhodey,0.025869991677161835
ikarahmawati___,0.025869991677161835
i_washuman,0.025869991677161835
nantikepikiran,0.025869991677161835
keutychia,0.025869991677161835
minhyunglee283,0.025869991677161835
mersieo,0.025869991677161835
indomiejpg,0.025869991677161835
sparklingbub,0.025869991677161835
safvely,0.025869991677161835
padukachanyeol,0.025869991677161835
numayyyyyy,0.025869991677161835
studyyeay,0.025869991677161835
kgzutora,0.025869991677161835
ndatawlah,0.025869991677161835
nesanjayyyy,0.025869991677161835
stupid_medstud,0.025869991677161835
sugasecretary,0.025869991677161835
klandastine,0.025869991677161835
kimdoieily,0.025869991677161835
mantappugirl,0.025869991677161835
nestleysya,0.025869991677161835
khaylilav,0.025869991677161835
neupuz,0.025869991677161835
naufalaal_,0.025869991677161835
kyuutiies,0.025869991677161835
kuyangexpress,0.025869991677161835
