Source,Target,Jumlah Interaksi
7chillboo,kjnchsolo,144.0
morphoflies,junkyukime,104.0
exosalien,junkyukime,100.0
mactaadid,kyutieshii,55.0
yourarians,sbmptnfess,36.0
mumarisatulhk,schfess,36.0
dian_renataa,schfess,35.0
helloyoon4,sbmptnfess,34.0
guidance204,schfess,34.0
syafiranurainun,schfess,27.0
guidance204,subschfess,25.0
mumarisatulhk,subschfess,22.0
jeinneblackpink,subschfess,21.0
dian_renataa,subschfess,21.0
helloyoon4,utbkfess,21.0
kamilla_nadiya,schfess,21.0
dannit07,choihyunsukie7,20.0
frendy_yoga,subschfess,18.0
cruciaetus,subschfess,18.0
swidays7,pjweomma,17.0
frendy_yoga,schfess,17.0
pjweomma,swidays7,16.0
grungeshii,kyutieshii,16.0
byunpov,subschfess,15.0
syafiranurainun,subschfess,15.0
hiromi_daiji,schfess,14.0
hopefullyperf,subschfess,14.0
yourarians,schfess,14.0
aqilla_qiranni,schfess,14.0
cruciaetus,schfess,12.0
tresurcakep,lisaandara61,11.0
syafiranurainun,sbmptnfess,11.0
byunpov,schfess,11.0
dian_renataa,sbmptnfess,10.0
hiromi_daiji,subschfess,10.0
chamberdux,schfess,10.0
lizzypeachyy,schfess,10.0
lovybel,subschfess,9.0
lisaandara61,tresurcakep,9.0
gabriux1,dinges_zenius,9.0
kamilla_nadiya,subschfess,9.0
zenius_oliv,subschfess,9.0
kimikimikokobop,subschfess,9.0
aldiset02946261,sbmptnfess,8.0
helloyoon4,subschfess,8.0
kimikimikokobop,schfess,8.0
zenius_oliv,schfess,8.0
hsyriki,i_sunwon_u,8.0
syafiranurainun,utbkfess,8.0
kamilla_nadiya,sbmptnfess,8.0
zeniusambis,schfess,8.0
hopefullyperf,schfess,8.0
putrioec,subschfess,7.0
naraseyoo,schfess,7.0
aqilla_qiranni,subschfess,7.0
thomathow,schfess,6.0
jeinneblackpink,schfess,6.0
putrioec,schfess,6.0
naraseyoo,subschfess,6.0
tiaraputri_tari,schfess,6.0
hopefullyperf,sbmptnfess,6.0
authxutt7,rossvxyw_,6.0
bitterlo_ve,subschfess,6.0
bitterlo_ve,schfess,6.0
keyystudies,subschfess,5.0
chamberdux,subschfess,5.0
maillov_,schfess,5.0
yourarians,subschfess,5.0
hiromi_daiji,smkfess,5.0
fajrisp5,schfess,4.0
lovybel,schfess,4.0
gegexzv,sukaaasahi,4.0
wibubelajar,schfess,4.0
kiranna_kinan,schfess,4.0
w4tanabetheresa,bulgos7chill,4.0
treasurememberx,choiharu00,4.0
zenbyzaa,subschfess,4.0
woolliyy,chyunsukkk,4.0
pfmmipy,schfess,4.0
studyearlier,subschfess,4.0
overthinkingboo,subschfess,4.0
bulgos7chill,w4tanabetheresa,4.0
adeskyle,_yedamgenjreng,4.0
kakmilda,sbmptnfess,4.0
zenius_oliv,sbmptnfess,4.0
dubi_dudamdam,haruwobbies,4.0
yuraharja,schfess,4.0
hiromi_daiji,sbmptnfess,4.0
kiranna_kinan,sbmptnfess,4.0
ttttaacaa,subschfess,3.0
hajeongkyuwan,teumebebe,3.0
fajrisp5,subschfess,3.0
oreoeon,schfess,3.0
choincung,uwuu_97,3.0
adonisamei,fakirotak,3.0
iamuti_,sumimase_,3.0
istanwithu,dududuinaja,3.0
atomhidrogen1,subschfess,3.0
tetehcarat,ana_daskw,3.0
tetsuuuuuw,nezthetic,3.0
dian_renataa,utbkfess,3.0
jiunromyy_,haohiksrott,3.0
oreoeon,tresurcakep,3.0
hikunswolf,bonrubonru,3.0
atheaana,schfess,3.0
hwandoux,rubyjanesoloist,3.0
kim_bangjeon,junghwangall,3.0
spagetigoreng,bertanyarl,3.0
amsterdamlaf,schfess,3.0
amsterdamlaf,subschfess,3.0
cruciaetus,gapyearfess,3.0
ana_daskw,tetehcarat,3.0
makyuisme,dxbbivskim,3.0
sukaaasahi,gegexzv,3.0
dududuinaja,istanwithu,3.0
ambisintenyukk,sbmptnfess,3.0
dsriendang,subschfess,3.0
tiaraputri_tari,subschfess,3.0
xoxotreasure12,waguwagusuk,3.0
sukselca,hiadamwoo,3.0
desi138_,schfess,3.0
yoncskrit,ainunqolbymunaw,3.0
tresurcakep,oreoeon,3.0
user0014297,canwehvebutter,3.0
aproditheyohoon,w0o0ski,3.0
sahiiluvky,rut0w0rld_,3.0
alchemillaes,subschfess,3.0
esridarna,subschfess,3.0
junghwangall,kim_bangjeon,3.0
jangmikkul,kulitayamkeepsi,3.0
lizzypeachyy,sbmptnfess,3.0
hujkwqe83dja,schfess,3.0
jaeeejung,na_seera,3.0
akunbantukamu,schfess,3.0
iiasahii,noonayeth,3.0
j3ndang,subschfess,3.0
gustity1,schfess,3.0
ncukcard,preciousbearley,3.0
hiadamwoo,sukselca,3.0
aziastudy,airmelon_,3.0
liplipaaaee,schfess,3.0
ftievi,schfess,3.0
dian_renataa,convomfs,3.0
waguwagusuk,xoxotreasure12,3.0
haruteum07,choiharu00,3.0
kiranna_kinan,subschfess,3.0
chyunsukkk,woolliyy,3.0
_yedamgenjreng,adeskyle,3.0
syafiranurainun,gapyearfess,3.0
zenbyzaa,sbmptnfess,3.0
txtdariharsa,pemudalusi,3.0
mitrabelajarmu,subschfess,3.0
noonayeth,iiasahii,3.0
_mllytmnda,iam__mfb,3.0
overthinkingboo,schfess,3.0
i_sunwon_u,hwangyujin0,3.0
itsmewillotski,7chillboo,3.0
penghunipluto_,schfess,3.0
jeinneblackpink,ambisfs,3.0
fathasayyidah,schfess,3.0
chyunsukkk,purpleenaa,3.0
mauliana_sella,schfess,2.0
annyeonghazeyan,adorutoable,2.0
plumyn,convomf,2.0
nafastudy,rxxras,2.0
jaehyuklovebot,hwanskyle,2.0
bubos_nim,sbmptnfess,2.0
pcykjk,rut0w0rld_,2.0
inianissaa,schfess,2.0
pcrnysarigandum,syadnyl,2.0
xexostar,schfess,2.0
maukuliah2,studyfess,2.0
itsnay___nay,limunchacha,2.0
ssaegt,sabdaps,2.0
dian_renataa,corbwynbesson,2.0
dosamrabbit,prythalizee,2.0
mjskud,itscammila,2.0
pjhnly_,hmdjky,2.0
sriichskies_,rut0w0rld_,2.0
dian_renataa,dyoovr,2.0
innercircleuni4,kyuities,2.0
piwchicks,schfess,2.0
aqilla_qiranni,anissa_junia,2.0
wtnbe_kimaul,tumteume,2.0
mitrabelajarmu,schfess,2.0
dian_renataa,gapyearfess,2.0
wthalvme,akudounat,2.0
txtfromshasa,jessiediary_,2.0
ddowoonssi,numdeysix,2.0
dscbae__,rut0w0rld_,2.0
panggilajafe,haruwobbies,2.0
dxbbivskim,makyuisme,2.0
biologyzyx,atypicali,2.0
preciousbearley,ncukcard,2.0
berusahangambis,vithzee,2.0
stuudiv,schfess,2.0
sebut_aja_orang,jeonsooheej,2.0
premiumappbysay,schfess,2.0
sobbingbcsoobin,schfess,2.0
vaquola,schfess,2.0
hmdjky,pjhnly_,2.0
stylsdntfvl,schfess,2.0
baksulee,rut0w0rld_,2.0
bulgos7chill,junkyua18,2.0
bammiefgh,ambisfs,2.0
dian_renataa,ambisfs,2.0
mumarisatulhk,sbmptnfess,2.0
amsterdamlaf,sbmptnfess,2.0
masgifar,naiscent,2.0
xxjunkyukim,treasure_bllbrd,2.0
babysahiwoo,watanabedoyoung,2.0
jbjie,faintedrain,2.0
haruwobbies,dubi_dudamdam,2.0
cruciaetus,sbmptnfess,2.0
potongannf,schfess,2.0
hazelnutdolce,schfess,2.0
potongannf,subschfess,2.0
angelinetrima,subschfess,2.0
sstrharuto,taehyungkohl,2.0
angelinetrima,schfess,2.0
pasukanambis,gapyearfess,2.0
mondaylis_,hsahikunn,2.0
nakskarunggoni,sbmptnfess,2.0
mondaylis_,nopainpaintime,2.0
k_jun_chicken,asahiexxx,2.0
mondaylis_,qnyaabanana,2.0
seetayz,subschfess,2.0
titiswell,txtapaadanya,2.0
piscesfeed1,pacarjaemln,2.0
mikalia99,tetehcarat,2.0
dobbyyyluv,hmdjky,2.0
hiphiphura123,subschfess,2.0
sjhcoow,_wirahadilase,2.0
hilycious,schfess,2.0
bbbluelion,7chill88,2.0
isahhahihu,todamoons,2.0
millylattee,etherealjakeee,2.0
sjhcoow,choiharu00,2.0
oreoeon,subschfess,2.0
jedd0ngie,schfess,2.0
tuanjaehyun,kunnykunnykunn,2.0
w0o0ski,aproditheyohoon,2.0
myprciousuncuk,treasureunionid,2.0
oreoeon,smkfess,2.0
vyororong,zkdlinkyu,2.0
haechanprivate,bffhae,2.0
haechaniew,schfess,2.0
mystruggle___,subschfess,2.0
