Source,Target,Weight
helloyoon4,sbmptnfess,34.0
helloyoon4,utbkfess,21.0
byunpov,subschfess,15.0
hopefullyperf,subschfess,14.0
byunpov,schfess,11.0
lizzypeachyy,schfess,10.0
zenius_oliv,subschfess,9.0
gabriux1,dinges_zenius,9.0
zeniusambis,schfess,8.0
hopefullyperf,schfess,8.0
helloyoon4,subschfess,8.0
zenius_oliv,schfess,7.0
hopefullyperf,sbmptnfess,6.0
keyystudies,subschfess,5.0
maillov_,schfess,5.0
zenius_oliv,sbmptnfess,4.0
zenbyzaa,subschfess,4.0
pfmmipy,schfess,4.0
atomhidrogen1,subschfess,3.0
aziastudy,airmelon_,3.0
lizzypeachyy,sbmptnfess,3.0
user0014297,canwehvebutter,3.0
txtdariharsa,pemudalusi,3.0
hujkwqe83dja,schfess,3.0
mitrabelajarmu,subschfess,3.0
gustity1,schfess,3.0
amsterdamlaf,subschfess,3.0
amsterdamlaf,schfess,3.0
ttttaacaa,subschfess,3.0
tetsuuuuuw,nezthetic,3.0
zenbyzaa,sbmptnfess,3.0
ambisintenyukk,sbmptnfess,3.0
ftievi,schfess,3.0
vaquola,schfess,2.0
sebut_aja_orang,jeonsooheej,2.0
notbeautybutidc,sbmptnfess,2.0
jbjie,faintedrain,2.0
nnaanaj,subschfess,2.0
notge0n,subschfess,2.0
nowsantuy,iridoriscent,2.0
numayyyyyy,schfess,2.0
jedd0ngie,schfess,2.0
nakskarunggoni,sbmptnfess,2.0
biologyzyx,atypicali,2.0
naxxyra,schfess,2.0
yourcrush_babe,subschfess,2.0
amiktheavocado,atypicali,2.0
amilyakautsar,sbmptnfess,2.0
amsterdamlaf,areajulid,2.0
amsterdamlaf,sbmptnfess,2.0
mitrabelajarmu,schfess,2.0
mjskud,itscammila,2.0
yantoyamazaki,subschfess,2.0
keyystudies,schfess,2.0
asdfghjklhftt,sbmptnfess,2.0
xexostar,schfess,2.0
awasakunbaru,sbmptnfess,2.0
kasihnamadong_,whentheweather,2.0
mystruggle___,subschfess,2.0
nafastudy,rxxras,2.0
vrdhmrh,saramadhan,2.0
natadekopok_,purplishdaisy,2.0
navaaaa_aa,bang_garr,2.0
jenoseno,subschfess,2.0
inianissaa,schfess,2.0
cestlacherie,flummfox,2.0
byunpov,convomf,2.0
titiswell,txtapaadanya,2.0
ddowoonssi,numdeysix,2.0
devnur99,itzjaraaa,2.0
ssaegt,sabdaps,2.0
purpleuvy,cherrykook16,2.0
